"","Agency_ID","Sample.date","Scorer","Timestamp","Disturb.score","Scorer_BPJ"
"1","102PS0177","8/28/2012","MBS","5/19/2020",20,"N"
"2","103FS0404","7/12/2000","MBS","5/19/2020",2,"Y"
"3","103FS0405","7/13/2000","MBS","5/19/2020",14,"N"
"4","103PS0281","7/22/2015","MBS","5/19/2020",2,"Y"
"5","103STCNSR","8/9/2011","MBS","5/21/2020",2,"Y"
"6","103WER026","8/15/2012","MBS","5/21/2020",1,"Y"
"7","103WER029","7/30/2003","MBS","5/21/2020",0,"Y"
"8","103WER030","7/31/2003","MBS","5/21/2020",1,"Y"
"9","105FC1297","7/22/2014","MBS","5/21/2020",1,"Y"
"10","105FS0415","7/26/2000","MBS","5/21/2020",3,"Y"
"11","105FS0416","7/26/2000","MBS","5/21/2020",4,"Y"
"12","105FS0423","8/6/2000","MBS","5/21/2020",1,"Y"
"13","105FS0425","8/7/2000","MBS","5/21/2020",3,"Y"
"14","105FS0428","8/9/2000","MBS","5/21/2020",3,"Y"
"15","105PS0043","9/17/2008","MBS","5/21/2020",23,"Y"
"16","105PS0083","9/8/2009","MBS","5/26/2020",13,"Y"
"17","105PS0275","8/19/2015","MBS","5/26/2020",3,"Y"
"18","105WLCABC","8/3/2011","MBS","5/26/2020",3,"Y"
"19","107GWCAPC","7/31/2018","MBS","5/26/2020",4,"Y"
"20","107WER092","8/27/2012","MBS","5/26/2020",3,"Y"
"21","11850","10/3/2018","MBS","5/11/2020",3,"Y"
"22","11850","7/29/1999","MBS","5/11/2020",6,"Y"
"23","12894","9/16/1997","MBS","3/31/2020",3,"Y"
"24","13200","7/13/1998","MBS","3/31/2020",1,"Y"
"25","13215","9/10/1998","MBS","3/31/2020",12,"N"
"26","13231","8/5/1999","MBS","3/31/2020",0,"Y"
"27","13244","7/6/1998","ALT","4/23/2020",14,"N"
"28","13244","9/9/1999","ALT","4/23/2020",14,"N"
"29","13244","9/9/1999","MBS","4/9/2020",16,"N"
"30","13244","9/9/1999","SLH","4/20/2020",13,"N"
"31","17007","8/24/1998","ALT","4/27/2020",7,"Y"
"32","17007","8/24/1998","MBS","4/9/2020",9,"Y"
"33","17007","8/24/1998","SLH","4/20/2020",6,"Y"
"34","17010","8/25/1998","MBS","3/31/2020",1,"Y"
"35","17048","8/13/1998","ALT","4/27/2020",3,"Y"
"36","17048","8/13/1998","MBS","4/9/2020",3,"Y"
"37","17048","8/13/1998","SLH","4/20/2020",3,"Y"
"38","21821","8/3/1999","MBS","3/31/2020",4,"Y"
"39","21855","7/27/1999","MBS","3/31/2020",14,"N"
"40","21857","7/21/1999","MBS","4/1/2020",0,"Y"
"41","21864","9/22/1999","ALT","4/23/2020",1,"Y"
"42","21864","9/22/1999","MBS","4/9/2020",3,"Y"
"43","21864","9/22/1999","SLH","4/20/2020",1,"Y"
"44","21865","9/8/1999","ALT","4/23/2020",3,"Y"
"45","21865","9/8/1999","MBS","4/9/2020",4,"Y"
"46","21865","9/8/1999","SLH","4/20/2020",3,"Y"
"47","21868","8/31/1999","ALT","4/23/2020",1,"Y"
"48","21868","8/31/1999","MBS","4/9/2020",1,"Y"
"49","21868","8/31/1999","SLH","4/20/2020",1,"Y"
"50","21876","9/28/1999","MBS","4/1/2020",3,"Y"
"51","21876","9/28/1999","SLH","4/1/2020",1,"Y"
"52","21878","9/14/1999","MBS","4/1/2020",14,"N"
"53","21881","7/13/1999","MBS","4/1/2020",7,"Y"
