"","MLocID","Disturb.score","BPJ_final","Ref2020_FINAL","Lat_DD","Long_DD","StationDes","EcoRegion3"
"1","12095-ORDEQ",16,"N","NO",42.04863,-124.09104,"EF Winchuck River U/S Wheeler Cr Rd.",78
"2","12095-ORDEQ",16,"N","NO",42.04863,-124.09104,"EF Winchuck River U/S Wheeler Cr Rd.",78
"3","2013ORBRC1010",20,"Score","NO",43.1567268246,-122.26844712,"BEAR CREEK",4
"4","2013ORGOL1003",0.666666666666667,"Score","YES",44.8784078527,-122.24015435,"EAST GOLD CREEK",4
"5","2013ORGOL1014",1,"Score","YES",44.8673974223,-122.256439096,"GOLD CREEK",4
"6","2013ORGOL1020",0,"Score","YES",44.8721493301,-122.254871396,"GOLD CREEK",4
"7","2013ORGOL1024",2,"Score","YES",44.862875679,-122.256028969,"GOLD CREEK",4
"8","2013ORSBT1005",7,"N","NO",42.3474076893,-122.328507739,"SOUTH FORK LITTLE BUTTE CREEK",4
"9","2013ORUTR1005",25,"Score","NO",44.2602341455,-121.692758388,"UPPER TROUT CREEK",9
"10","2013ORUTR1021",21,"Score","NO",44.2367917524,-121.704748355,"UPPER TROUT CREEK",9
"11","2013ORUTR1029",12,"N","NO",44.2347818202,-121.706933755,"UPPER TROUT CREEK",9
"12","2013ORUTR1039",22,"Score","NO",44.2569851285,-121.69206624,"UPPER TROUT CREEK",9
"13","2037",14,"N","NO",42.80542,-124.40574,"Sixes: Dry Creek",1
"14","21842-ORDEQ",1,"Score","YES",44.5393,-123.853,"FLYNN Creek at RM 1.71 (Alsea)",1
"15","23049-ORDEQ",11,"Score","YES",42.666791,-118.732024,"LITTLE BLITZEN RIVER",80
"16","24061-ORDEQ",7,"Score","YES",45.829107,-118.14617,"South Fork Walla Walla",11
"17","30624-ORDEQ",2,"Score","YES",44.88996,-122.14363,"Upper Hot Springs Fork Collawash, Site 1010",4
"18","33336-ORDEQ",2,"Score","YES",44.2079,-124.0717,"Mill Cr at RM 2.51",1
"19","33337-ORDEQ",2,"Score","YES",44.26709,-124.0623,"Cummins Cr",1
"20","33342-ORDEQ",12,"Score","YES",44.47608,-123.9457,"Trout Cr, E Fk",1
"21","33389-ORDEQ",11,"N","NO",42.71087,-124.0666,"Crater Cr",1
"22","34643-ORDEQ",2,"Score","YES",44.1379711212,-123.70385426,"Raleigh Creek",1
"23","34661-ORDEQ",11,"Score","YES",44.3805,-123.8449,"Brush Cr at RM 0.60",1
"24","35825-ORDEQ",1,"Score","YES",45.383601,-117.67254,"Little Minam Creek",11
