"MLocId","StationDes","Lat_DD","Long_DD","Eco3","COMID","rdden_km_km2","xings_km2","P_AgLand","P_Urban21Land","mines","grvl_mn_km2","P_canal","rd_Status","xing_Status","Ag_Status","Urb21L_Status","mines_status","gmines_status","canal_status","GIS.status_2020","WorE","Disturb.score","BPJ_final","Ref2020_FINAL","owner"
"103FS0404","Kelly Cr",41.85546,-123.85215,"KlMt",22227592,0.0908114315426121,0,0,0.594477777350977,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W",2,"Score","YES","DEQ"
"103PS0281","Bear Creek ~0.6mi above Diamond Cr.",41.95452,-123.91289,"KlMt",22227360,0.225795692873093,0,0,0.587561579028553,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W",2,"Score","YES","DEQ"
"103STCNSR","Stony Creek ~0.2mi abobe NF Smith River",41.86198,-123.96086,"KlMt",22227560,0.411562166859253,0.0392480081635865,0,1.60024805278156,0,0,0,1,1,1,0,1,1,1,"NO","W",2,"Score","YES","DEQ"
"103WER026","Coldwater Creek above Hardscrabble Creek",41.84999,-124.03322,"KlMt",22226750,0,0,0,0.578965972636481,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W",1,"Score","YES","DEQ"
"103WER029","Clarks Creek above Hwy 199",41.80977,-124.11209,"CoRa",22226788,0,0,0,0.00728159443830707,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W",0,"Score","YES","DEQ"
"103WER030","Eighteen Mile Creek above Old Gasquet Rd.",41.85649,-123.91194,"KlMt",22227610,0.462288663708177,0,0,1.96177770770429,0,0,0,1,1,1,0,1,1,1,"NO","W",1,"Score","YES","DEQ"
"105FC1297","Butler Creek ~1mi above Salmon R.",41.3286,-123.41992,"KlMt",8257759,0.168765416554946,0,0,2.2253105367421,0,0,0,1,1,1,0,1,1,1,"NO","W",1,"Score","YES","DEQ"
"105FS0415","Burney Valley Cr",41.61202,-123.29225,"KlMt",4439740,0,0,0,0.276176869716628,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W",3,"Score","YES","DEQ"
"105FS0416","Elk Creek at Hummingbird Cr.",41.61411,-123.28187,"KlMt",4439616,0.333706570978248,0.026644711424453,0,1.44478333704761,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W",4,"Score","YES","DEQ"
"105FS0423","Tenmile Cr",41.73693,-123.54872,"KlMt",4439208,0.00149157148325893,0,0,0.00725693880221575,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W",1,"Score","YES","DEQ"
"105FS0425","Salmon River, NF ~2.7mi above Sawyers Bar Rd.",41.35827,-123.07451,"KlMt",8257711,0.535492421291822,0.0813315603053187,0,1.5798006116763,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W",3,"Score","YES","DEQ"
"105FS0428","Bridge Creek above Wooley Cr.",41.44105,-123.35829,"KlMt",8257399,0.184389497938247,0,0,3.78249046276035,0,0,0,1,1,1,0,1,1,1,"NO","W",3,"Score","YES","DEQ"
"105PS0083","Cherry Creek above Little North Fork Salmon R.",41.36469,-123.18717,"KlMt",8257659,0.400844923387416,0.44214528894187,0,1.34517081118503,0,0,0,1,0,1,1,1,1,1,"NO","W",13,"Score","YES","DEQ"
"105PS0275","Shackleford Creek ~0.2mi below Long High Cr.",41.55216,-123.07014,"KlMt",3798357,1.09270449253075,0.352925754504852,0,3.3662110170216,0,0,0,1,0,1,0,1,1,1,"NO","W",3,"Score","YES","DEQ"
"105WLCABC","Wooley Creek ~0.5mi above Bridge Cr.",41.44225,-123.35041,"KlMt",8257397,0.226756018985743,0.0400615505662905,0.000360553905701608,1.00059132802523,0,0,0,1,1,0,1,1,1,1,"NO","W",3,"Score","YES","DEQ"
"107GWCAPC","Godwood Creek ~0.2mi above Prarie Cr.",41.36789,-124.02434,"CoRa",8315561,1.48351389595647,0.446947349602184,0,0,0,0,0,0,0,1,1,1,1,1,"NO","W",4,"Score","YES","DEQ"
"107WER092","Home Creek in Fern Canyon ~0.3mi above ocean bluffs",41.39996,-124.0579,"CoRa",8315549,0.660665701181381,0.313873195229183,0,0,0,0,0,1,0,1,1,1,1,1,"NO","W",3,"Score","YES","DEQ"
"505PS0110","Tom Neal Creek above Squaw Valley Creek",41.09656,-122.2015,"KlMt",7960911,0.964327442380276,0.0327278677794135,0,0,1,0,0,1,1,1,1,0,1,1,"NO","W",9,"Score","YES","DEQ"
