"","OrgID","MLocId","StationDes","Lat_DD","Long_DD","HUC8_Name","HUC12_Name","GNIS_Name","EcoRegion2","EcoRegion3","EcoRegion4","COMID","rdden_km_km2","xings_km2","P_AgLand","P_Urban21Land","mines","grvl_mn_km2","P_canal","rd_Status","xing_Status","Ag_Status","Urb21L_Status","mines_status","gmines_status","canal_status","ref.status_2020","WorE","Eco3","ref.status_2020.yn"
"1","CDWF","103FS0404","Kelly Cr",41.85546,-123.85215,"Smith","Lower Middle Fork Smith River","Kelly Creek","WESTERN CORDILLERA",78,"78d",22227592,0.0908114315426121,0,0,0.594477777350977,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","KlMt","Y"
"2","CDWF","103PS0281","Bear Creek ~0.6mi above Diamond Cr.",41.95452,-123.91289,"Smith","Diamond Creek","Bear Creek","WESTERN CORDILLERA",78,"78d",22227360,0.225795692873093,0,0,0.587561579028553,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","KlMt","Y"
"3","CDWF","103STCNSR","Stony Creek ~0.2mi abobe NF Smith River",41.86198,-123.96086,"Smith","Lower North Fork Smith River","Stony Creek","WESTERN CORDILLERA",78,"78d",22227560,0.411562166859253,0.0392480081635865,0,1.60024805278156,0,0,0,1,1,1,0,1,1,1,"Not","W","KlMt","N"
"4","CDWF","103WER026","Coldwater Creek above Hardscrabble Creek",41.84999,-124.03322,"Smith","Hardscrabble Creek-Smith River","Coldwater Creek","WESTERN CORDILLERA",78,"78i",22226750,0,0,0,0.578965972636481,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","KlMt","Y"
"5","CDWF","103WER029","Clarks Creek above Hwy 199",41.80977,-124.11209,"Smith","Smith River","Clarks Creek","MARINE WEST COAST FOREST",1,"1i",22226788,0,0,0,0.00728159443830707,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","CoRa","Y"
"6","CDWF","103WER030","Eighteen Mile Creek above Old Gasquet Rd.",41.85649,-123.91194,"Smith","Lower Middle Fork Smith River","Eighteenmile Creek","WESTERN CORDILLERA",78,"78d",22227610,0.462288663708177,0,0,1.96177770770429,0,0,0,1,1,1,0,1,1,1,"Not","W","KlMt","N"
"7","CDWF","105FC1297","Butler Creek ~1mi above Salmon R.",41.3286,-123.41992,"Salmon","Butler Creek-Salmon River",NA,"WESTERN CORDILLERA",78,"78i",8257759,0.168765416554946,0,0,2.2253105367421,0,0,0,1,1,1,0,1,1,1,"Not","W","KlMt","N"
"8","CDWF","105FS0415","Burney Valley Cr",41.61202,-123.29225,"Lower Klamath","Upper Elk Creek","Burney Valley Creek","WESTERN CORDILLERA",78,"78i",4439740,0,0,0,0.276176869716628,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","KlMt","Y"
"9","CDWF","105FS0416","Elk Creek at Hummingbird Cr.",41.61411,-123.28187,"Lower Klamath","Upper Elk Creek","Elk Creek","WESTERN CORDILLERA",78,"78i",4439616,0.333706570978248,0.026644711424453,0,1.44478333704761,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","KlMt","Y"
"10","CDWF","105FS0423","Tenmile Cr",41.73693,-123.54872,"Lower Klamath","Tenmile Creek","Tenmile Creek","WESTERN CORDILLERA",78,"78i",4439208,0.00149157148325893,0,0,0.00725693880221575,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","KlMt","Y"
"11","CDWF","105FS0425","Salmon River, NF ~2.7mi above Sawyers Bar Rd.",41.35827,-123.07451,"Salmon","Yellow Dog Creek-North Fork Salmon River",NA,"WESTERN CORDILLERA",78,"78k",8257711,0.535492421291822,0.0813315603053187,0,1.5798006116763,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","KlMt","Y"
"12","CDWF","105FS0428","Bridge Creek above Wooley Cr.",41.44105,-123.35829,"Salmon","Middle Wooley Creek",NA,"WESTERN CORDILLERA",78,"78i",8257399,0.184389497938247,0,0,3.78249046276035,0,0,0,1,1,1,0,1,1,1,"Not","W","KlMt","N"
"13","CDWF","105PS0083","Cherry Creek above Little North Fork Salmon R.",41.36469,-123.18717,"Salmon","Little North Fork Salmon River",NA,"WESTERN CORDILLERA",78,"78k",8257659,0.400844923387416,0.44214528894187,0,1.34517081118503,0,0,0,1,0,1,1,1,1,1,"Not","W","KlMt","N"
"14","CDWF","105PS0275","Shackleford Creek ~0.2mi below Long High Cr.",41.55216,-123.07014,"Scott","Shackleford Creek",NA,"WESTERN CORDILLERA",78,"78m",3798357,1.09270449253075,0.352925754504852,0,3.3662110170216,0,0,0,1,0,1,0,1,1,1,"Not","W","KlMt","N"
"15","CDWF","105WLCABC","Wooley Creek ~0.5mi above Bridge Cr.",41.44225,-123.35041,"Salmon","Middle Wooley Creek",NA,"WESTERN CORDILLERA",78,"78i",8257397,0.226756018985743,0.0400615505662905,0.000360553905701608,1.00059132802523,0,0,0,1,1,0,1,1,1,1,"Not","W","KlMt","N"
"16","CDWF","107GWCAPC","Godwood Creek ~0.2mi above Prarie Cr.",41.36789,-124.02434,"Mad-Redwood","Prairie Creek",NA,"MARINE WEST COAST FOREST",1,"1i",8315561,1.48351389595647,0.446947349602184,0,0,0,0,0,0,0,1,1,1,1,1,"Not","W","CoRa","N"
"17","CDWF","107WER092","Home Creek in Fern Canyon ~0.3mi above ocean bluffs",41.39996,-124.0579,"Mad-Redwood","Luffenholtz Creek-Frontal Pacific Ocean",NA,"MARINE WEST COAST FOREST",1,"1i",8315549,0.660665701181381,0.313873195229183,0,0,0,0,0,1,0,1,1,1,1,1,"Not","W","CoRa","N"
"18","CDWF","505PS0110","Tom Neal Creek above Squaw Valley Creek",41.09656,-122.2015,"McCloud","Lower Squaw Valley Creek",NA,"WESTERN CORDILLERA",78,"78k",7960911,0.964327442380276,0.0327278677794135,0,0,1,0,0,1,1,1,1,0,1,1,"Not","W","KlMt","N"
"19","CDWF","526CE0061","Pine Creek, Middle Fork ~1.1mi above SF",41.37625,-120.29183,"Upper Pit","Pine Creek",NA,"WESTERN CORDILLERA",9,"9m",7932053,0.0616235106171815,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","E","EC","Y"
"20","CDWF","526PS0076","Mill Creek",41.27434,-120.26368,"Upper Pit","Mill Creek",NA,"WESTERN CORDILLERA",9,"9m",7929215,0.345776489743926,0.113438876864365,0,0,0,0,0,1,0,1,1,1,1,1,"Not","E","EC","N"
"21","CDWF","526PS1612","Parker Creek, SF ~4.7mi above  mainstem",41.41223,-120.24468,"Upper Pit","Upper Parker Creek",NA,"WESTERN CORDILLERA",9,"9m",7932037,0.667376225565004,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","E","EC","Y"
"22","CDWF","639PS1279","Smoke Creek ~4mi above Sage Hen Spring",40.7335,-120.11783,"Smoke Creek Desert","Headwaters Smoke Creek",NA,"COLD DESERTS",80,"80g",8951906,0.273867263578691,0.0233996948679788,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","E","NBR","Y"
"23","CDWF","641OWC157","Owl Creek ~1.2mi above Hwy 81",41.37691,-120.14454,"Surprise Valley","Cottonwood Creek-Frontal Middle Alkali Lake",NA,"COLD DESERTS",80,"80d",20318242,0.211353726040688,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","E","NBR","Y"
"24","CDWF","R5BIO-048","Pine Cr",41.36145,-120.28212,"Upper Pit","Pine Creek",NA,"WESTERN CORDILLERA",9,"9m",7928665,0.224643102586521,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","E","EC","Y"
"25","CDWF","R5BIO-049","Bald Mtn Cr",41.09567,-122.13599,"McCloud","Bald Mountain Creek-McCloud River",NA,"WESTERN CORDILLERA",78,"78k",7960907,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","KlMt","Y"
"26","OregonDEQ","13138-ORDEQ","East Fork Hood River at County Gravel Pit (River Mile 0.75)",45.57040173,-121.6158379,"Middle Columbia-Hood","Lower East Fork Hood River","East Fork Hood River","WESTERN CORDILLERA",9,"9c",24504424,1.44871157208176,0.507558997886954,6.75057400048444,1.68622523173269,3,0,5.17828556030093,0,0,0,0,0,1,2,"Trash","E","EC","N"
"27","OregonDEQ","13139-ORDEQ","Middle Fork Hood River at River Mile 1.0 (ODFW Smolt Trap)",45.56240944,-121.6318812,"Middle Columbia-Hood","Lower Middle Fork Hood River","Middle Fork Hood River","WESTERN CORDILLERA",9,"9c",24504404,1.50407694707962,0.403103655760054,0.921334624682238,0.278605794015292,0,0,0,0,0,0,1,1,1,1,"Not","E","EC","N"
"28","OregonDEQ","38560-ORDEQ","Hood River, MF at RM 3.4",45.53614293,-121.6261868,"Middle Columbia-Hood","Lower Middle Fork Hood River","Middle Fork Hood River","WESTERN CORDILLERA",9,"9c",24504410,1.0490886966405,0.250149265377786,0.476088764672182,0.298968727212753,0,0,0,1,0,0,1,1,1,1,"Not","E","EC","N"
"29","OregonDEQ","dfw_1949","N. Fork Beaver Trib H",44.51922397,-123.931776,"Alsea","Beaver Creek",NA,"MARINE WEST COAST FOREST",1,"1g",23886628,0.912451048937148,0,0,1.44976925621384,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","CoRa","Y"
"30","OregonDEQ","dfw_39708","Drift Cr",44.90132114,-123.9118847,"Siletz-Yaquina","Lower Drift Creek","Drift Creek","MARINE WEST COAST FOREST",1,"1d",23881044,2.35777632537558,0.236868154198678,0.0254715845801013,3.44287983146284,0,0,0,0,0,0,0,1,1,1,"Not","W","CoRa","N"
"31","OregonDEQ","dfw_588","South Cr",45.35632004,-123.61685756,"Wilson-Trusk-Nestuccu","South Fork Trask River","South Creek","MARINE WEST COAST FOREST",1,"1d",23876737,3.18064661280551,0,0,3.53407154037704,0,0,0,0,1,1,0,1,1,1,"Not","W","CoRa","N"
"32","OregonDEQ","dfw_6104","Carle Cr",43.90458995,-124.03260235,"Siltcoos","Maple Creek","Carle Creek","MARINE WEST COAST FOREST",1,"1b",23893433,0.897131799032941,0,0,0.351470050507807,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","CoRa","Y"
"33","OregonDEQ","dfw_62666","Britt Cr.",43.30729935,-123.03060112,"North Umpqua","Bradley Creek-North Umpqua River","Britt Creek","WESTERN CORDILLERA",4,"4a",23895420,3.12385639228136,0,0,0,0,0,0,0,1,1,1,1,1,1,"Not","W","Ca","N"
"34","OregonDEQ","12522-ORDEQ","Eames Creek at River Mile 4.8",43.98174568,-123.431115,"Siuslaw","Upper Wolf Creek","Eames Creek","MARINE WEST COAST FOREST",1,"1g",23890364,3.39398434842352,0,0,4.57408414749869,0,0,0,0,1,1,0,1,1,1,"Not","W","CoRa","N"
"35","OregonDEQ","33420-ORDEQ","Mcintosh Slough (ODFW)",43.70748,-124.10411,"Umpqua","Scholfield Creek",NA,"MARINE WEST COAST FOREST",1,"1a",NA,13.2845439856976,0,0,14.3378331341945,0,0,0,2,1,1,2,1,1,1,"Trash","W","CoRa","N"
"36","OregonDEQ","10681-ORDEQ","West Fork Hood River at mouth",45.60483973,-121.6333404,"Middle Columbia-Hood","Lower West Fork Hood River","West Fork Hood River","WESTERN CORDILLERA",4,"4a",24504362,1.57354804888577,0.501431525856142,7.526376121305,1.56027858159713,6,0,3.48196898246855,0,0,0,1,2,1,2,"Trash","W","Ca","N"
"37","OregonDEQ","10728-ORDEQ","Willow Creek at RR Crossing (Vale)",43.98800692,-117.2306332,"Willow","Willow Creek","Willow Creek","COLD DESERTS",12,"12a",24145066,1.32918382047745,0.451643613500579,8.03185003711882,1.4557820319877,21,0.00552622886374458,8.72112576572859,0,0,0,1,2,2,2,"Trash","E","SRP","N"
"38","OregonDEQ","12266-ORDEQ","Twentymile Creek at Hwy 140",42.17511173,-119.8515755,"Warner Lakes","Deep Creek-Crump Lake",NA,"COLD DESERTS",80,"80e",24046403,0.983209261321426,0.557926744218549,8.40254190479922,0.0125533508415383,0,0,100.000000540053,1,0,0,1,1,1,2,"Trash","E","NBR","N"
"39","OregonDEQ","12313-ORDEQ","Yaquina River at Harmsen Road",44.72587033,-123.6003051,"Siletz-Yaquina","Young Creek-Yaquina River","Yaquina River","MARINE WEST COAST FOREST",1,"1g",23880772,2.79852833081696,0.911992704058212,0,8.07374313848602,0,0,0,0,0,1,2,1,1,1,"Trash","W","CoRa","N"
"40","OregonDEQ","12710-ORDEQ","Umatilla River South Fork at Umatilla Springs Campground",45.7254226,-118.1883397,"Umatilla","Buck Creek-South Fork Umatilla River","South Fork Umatilla River","WESTERN CORDILLERA",11,"11c",23648650,1.57230299850834,0.0834297588815797,0,0,0,0,0,0,1,1,1,1,1,1,"Not","E","BM","N"
"41","OregonDEQ","12868-ORDEQ","A-3 Channel downstream of Bertelsen Road (end of industrial park)",44.05618263,-123.1682858,"Upper Willamette","Amazon Creek",NA,"MARINE WEST COAST FOREST",3,"3c",NA,7.70075194483224,0,5.72890488705737,1.26152375683574,0,0,0,2,1,0,1,1,1,1,"Trash","W","WV","N"
"42","OregonDEQ","13082-ORDEQ","Patawa Creek at confluence with Tutwilla Creek",45.65406524,-118.7944143,"Umatilla","Patawa Creek","Patawa Creek","COLD DESERTS",10,"10c",23648398,1.33247436568207,0.363920883599912,55.0289133005125,3.8017323085357,5,0.0202178268666618,0,0,0,2,0,2,2,1,"Trash","E","ColPl","N"
"43","OregonDEQ","31482-ORDEQ","Mill CR S FK BLW dam, LC reference site",45.47857645,-121.4426791,"Middle Columbia-Hood","North Fork Mill Creek-South Fork Mill Creek","South Fork Mill Creek","WESTERN CORDILLERA",9,"9b",24505178,1.2923015031311,0.188273771580875,0,0.859562991016828,0,0,0,0,0,1,1,1,1,1,"Not","E","EC","N"
"44","OregonDEQ","30357-ORDEQ","Threemile Creek",45.52401931,-121.2036567,"Middle Columbia-Hood","Threemile Creek","Threemile Creek","WESTERN CORDILLERA",9,"9c",24505200,1.30395099088679,0.131383600698957,24.3469102853133,2.15444994838507,1,0,0,0,0,2,0,0,1,1,"Trash","E","EC","N"
"45","OregonDEQ","28974-ORDEQ","Eightmile Creek downstream of County Bridge",45.56023695,-121.0585936,"Middle Columbia-Hood","Lower Eightmile Creek","Eightmile Creek","COLD DESERTS",10,"10e",24504608,1.20944227666058,0.37338003978194,28.446138905236,1.77307772116102,1,0.00565727333002939,0,0,0,2,0,0,2,1,"Trash","E","ColPl","N"
"46","OregonDEQ","37744-ORDEQ","Umatilla R at Three Mile Dam at gauge #14032450",45.88154504,-119.3236764,"Umatilla","Umatilla River","Umatilla River","COLD DESERTS",10,"10e",23647724,1.22412611885138,0.264940208131621,26.5287861764644,2.1175511174038,51,0.00324416581385658,4.42650363430448,0,0,2,0,2,2,2,"Trash","E","ColPl","N"
"47","OregonDEQ","32060-ORDEQ","Mill Creek upstream of Hubbard STP (Pudding River)",45.18599471,-122.81389,"Molalla-Pudding","Mill Creek-Pudding River","Mill Creek","MARINE WEST COAST FOREST",3,"3c",23800582,4.51429891566774,1.23249523657248,49.8047594578616,10.1935330206159,0,0,0,2,2,2,2,1,1,1,"Trash","W","WV","N"
"48","OregonDEQ","32513-ORDEQ","Mill Creek 100 feet downstream of Hubbard STP outfall (edge of mixing zone)",45.18645036,-122.8134753,"Molalla-Pudding","Mill Creek-Pudding River","Mill Creek","MARINE WEST COAST FOREST",3,"3c",23800582,4.61861596856014,1.22089243937613,49.3418080941455,10.1481260006072,0,0,0,2,2,2,2,1,1,1,"Trash","W","WV","N"
"49","OregonDEQ","23862-ORDEQ","Bear Creek at River Mile 2.1 (Rock, Pudding, Willamette)",45.16762442,-122.6798199,"Molalla-Pudding","Bear Creek","Bear Creek","MARINE WEST COAST FOREST",3,"3c",23800978,2.58850902690493,0.713201165896227,79.6296332706458,4.78680217193437,0,0,0,0,0,2,0,1,1,1,"Trash","W","WV","N"
"50","OregonDEQ","35772-ORDEQ","EAGLE CR AT RM 18.5",45.29881113,-122.1014694,"Clackamas","Upper Eagle Creek","Eagle Creek","WESTERN CORDILLERA",4,"4a",23809538,0.0273063589102472,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","Ca","Y"
"51","OregonDEQ","21854-ORDEQ","Zig Zag River",45.33843489,-121.9218978,"Lower Columbia-Sandy","Zigzag Canyon","Zigzag River","WESTERN CORDILLERA",4,"4a",23735903,0.727822861450586,0.218900812718243,0,2.10870598526212,2,0,0,1,0,1,0,0,1,1,"Not","W","Ca","N"
"52","OregonDEQ","31485-ORDEQ","Cast Creek",45.3761635,-121.8500427,"Lower Columbia-Sandy","Headwaters Sandy River","Cast Creek","WESTERN CORDILLERA",4,"4a",23737449,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","Ca","Y"
"53","OregonDEQ","31480-ORDEQ","Rushing Water Creek, LC reference site",45.3718058,-121.777972,"Lower Columbia-Sandy","Headwaters Sandy River","Rushing Water Creek","WESTERN CORDILLERA",4,"4c",23737505,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","Ca","Y"
"54","OregonDEQ","21876-ORDEQ","Cold Springs Creek upstream of Bluegrass Ridge Trail crossing",45.3975252,-121.5898769,"Middle Columbia-Hood","Middle East Fork Hood River","Cold Spring Creek","WESTERN CORDILLERA",4,"4c",24507192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","Ca","Y"
"55","OregonDEQ","28336-ORDEQ","Eightmile Creek 300 meters upstream of Endersby Bridge",45.49082144,-121.152379,"Middle Columbia-Hood","Middle Eightmile Creek","Eightmile Creek","COLD DESERTS",10,"10c",24504618,1.17032367191753,0.316285542587833,8.43125846015785,1.39522060165153,0,0,0,1,0,0,1,1,1,1,"Not","E","ColPl","N"
"56","OregonDEQ","28971-ORDEQ","Fifteenmile Creek upstream of Dry Creek",45.50460473,-121.0492399,"Middle Columbia-Hood","Upper Fifteenmile Creek","Fifteenmile Creek","COLD DESERTS",10,"10c",24504664,1.3013296063418,0.407464425531644,23.045125744007,1.40609996312101,2,0,7.86878671889604,0,0,2,1,0,1,2,"Trash","E","ColPl","N"
"57","OregonDEQ","33091-ORDEQ","Fifteenmile Creek - 1/3 miles downstream of Standard Hollow",45.54945516,-120.9742137,"Middle Columbia-Hood","Middle Fifteenmile Creek","Fifteenmile Creek","COLD DESERTS",10,"10e",24504652,1.13266389405793,0.365692931137265,33.7686192002651,2.16806857916993,6,0,3.97354927088679,1,0,2,0,2,1,2,"Trash","E","ColPl","N"
"58","OregonDEQ","37743-ORDEQ","Umatilla R at River Front Park, Oxbow Project",45.84347656,-119.3248971,"Umatilla","Umatilla River","Umatilla River","COLD DESERTS",10,"10e",23647734,1.18868559515058,0.252657227714635,26.2452348388362,1.98817984403808,45,0.00256133322809913,3.15186767959741,0,0,2,0,2,2,2,"Trash","E","ColPl","N"
"59","OregonDEQ","11489-ORDEQ","Umatilla River at Westland Road (Hermiston)",45.83561316,-119.3329256,"Umatilla","Umatilla River","Umatilla River","COLD DESERTS",10,"10e",23647736,1.16793225872858,0.252613942549113,26.2601893772411,1.96633350945848,44,0.00239182902632081,3.00856591860276,1,0,2,0,2,2,2,"Trash","E","ColPl","N"
"60","OregonDEQ","29871-ORDEQ","Mill Creek",44.97321832,-123.52483,"Yamhill","Upper Mill Creek","Mill Creek","MARINE WEST COAST FOREST",1,"1d",23796789,2.75968348386652,0.584715040396184,0,5.12998950279996,0,0,0,0,0,1,0,1,1,1,"Not","W","CoRa","N"
