"","OBJECTID","Id","gridcode","OBJECTID_1","sampleid","station","location","state","sampdate","custid","method","area","EcoRegion3","US_L3NAME","lat","long","geometry","geometry2","Permanent_","FDate","Resolution","GNIS_ID","GNIS_Name","LengthKM","ReachCode","Enabled","GNIS_Stati","MLocID","Org_ID","Measure","COMID","FAC_QC","Alt_ID","Identifier","Delin_QC","Shape_Length","Shape_Area","Area_km2","rd_km","rdden_km_km2","total_strm_km","xings","xings_km2","canal_km","P_canal","mines","mines_km2","grvl_mn","grvl_mn_km2","Ag_km2","P_AgLand","Urban21_km2","P_Urban21Land","rd_Status","xing_Status","Ag_Status","Urb21L_Status","mines_status","gmines_status","canal_status","GIS.status_2020","WorE","Eco3","GIS.status_2020.yn"
"1",1,5,5,474,151183,"2013OROSH1021","E FORK SHIVELY CREEK","OR",2013-07-19,"USFS_504","Surber net",0.74,78,"Klamath Mountains",42.8868184458,-123.13392474,"c(-2174075.57658589","2522555.11105522)","124314153",2012-02-25,2,"01141602","East Fork Shively Creek",0.262,"17100302013861",1,"yes","2013OROSH1021",NA,13.8606892054,23902699,"GE REVISIT; has COMID for EF Shively; is 200m W of EF Shively on Unnamed Trib; 25348 is 370m SE of point","25348",5,"OK",9780.00000000373,3053700.00000212,3.05370000000212,14.0026386017879,4.58546635287624,2.32743340835947,2,0.654943183678361,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"NO","W","KlMt","N"
"2",2,6,6,475,151184,"2013OROSH1024","SHIVELY CREEK","OR",2013-07-19,"USFS_504","Surber net",0.74,78,"Klamath Mountains",42.900770124,-123.153430819,"c(-2175156.3778388","2524497.11322122)","160870439",2012-02-25,2,"01126895","Shively Creek",0.334,"17100302000284",1,"yes","2013OROSH1024",NA,3.22243111288,23901469,"Revisit; on FAC; COMID corrected from 23901467",NA,6,"OK",16620.0000000037,10664999.9999991,10.6649999999991,32.8924031020361,3.08414468842371,4.00370434514177,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"NO","W","KlMt","N"
"3",3,7,7,476,151185,"2013OROSH1039","SHIVELY CREEK","OR",2013-07-18,"USFS_504","Surber net",0.74,78,"Klamath Mountains",42.9225661587,-123.143890558,"c(-2173726.91942968","2526615.31005688)","160870484",2012-02-25,2,"01126895","Shively Creek",0.29,"17100302000283",1,"yes","2013OROSH1039",NA,41.718890788,23901467,"On FAC",NA,7,"OK",30720.0000000037,29845800.0000016,29.8458000000016,98.019296986475,3.28419063943569,17.0206119017075,16,0.536088829919089,0,0,0,0,0,0,0,0,0.101958883341517,0.341618865440067,0,0,1,1,1,1,1,"NO","W","KlMt","N"
"4",4,8,8,477,151186,"2013ORSBT1001","SOUTH FORK LITTLE BUTTE CREEK","OR",2013-06-20,"USFS_504","Surber net",0.74,4,"Cascades",42.3339088946,-122.37328395,"c(-2131657.78279842","2445954.89510881)","142722378",2012-02-25,2,"01149985","South Fork Little Butte Creek",3.725,"17100307000108",1,"yes","2013ORSBT1001",NA,18.0372066486,23923156,"On FAC",NA,8,"Seems OK; crazy FAC patterns captured",47699.9999999888,49840200.0000003,49.8402000000003,99.104595746687,1.98844699151862,26.0700471569072,15,0.300961874149781,0,0,0,0,0,0,0,0,0.365072745663511,0.73248651823931,0,0,1,1,1,1,1,"NO","W","Ca","N"
"5",5,10,9,478,151188,"ORST97-214","South Fork Little Butte Creek","OR",2013-06-21,"USFS_504","Surber net",0.74,4,"Cascades",42.3476,-122.367,"c(-2130743.66541744","2447286.29065867)","142722378",2012-02-25,2,"01149985","South Fork Little Butte Creek",3.725,"17100307000108",1,"yes","ORST97-214",NA,50.0334496127,23923156,"On FAC",NA,9,"OK",44399.9999999925,46844999.9999998,46.8449999999998,88.0591812895992,1.87979893883231,24.0268077923569,15,0.320204931155941,0,0,0,0,0,0,0,0,0.365048864620709,0.779269643762857,0,0,1,1,1,1,1,"NO","W","Ca","N"
"6",6,11,10,479,151189,"2013ORSBT1004","SOUTH FORK LITTLE BUTTE CREEK","OR",2013-06-24,"USFS_504","Surber net",0.74,4,"Cascades",42.331294233,-122.298164726,"c(-2125822.05361148","2443991.02009497)","142722383",2012-02-25,2,"01149985","South Fork Little Butte Creek",0.541,"17100307000109",1,"yes","2013ORSBT1004",NA,4.57412112646,23923158,"GE REVISIT; On FAC for unnamed 'Trib 11' (23925094); name and COMID match SFLBCr",NA,10,"Ambiguous; station is 180m u/s from SFLB",20940,10330200.0000033,10.3302000000033,8.27766455224665,0.801307288556272,3.81911261892412,2,0.193607093763854,0,0,0,0,0,0,0,0,0.080837915707215,0.782539696300064,1,0,1,1,1,1,1,"NO","W","Ca","N"
"7",7,13,11,480,151190,"2013ORSBT1005","SOUTH FORK LITTLE BUTTE CREEK","OR",2013-08-19,"USFS_504","Surber net",0.74,4,"Cascades",42.3474076893,-122.328507739,"c(-2127719.0001682","2446403.18373076)","166077614",2012-02-25,2,NA,NA,0.578,"17100307015384",1,"yes","2013ORSBT1005",NA,11.2282428881,0,"GE REVISIT; On FAC for unnamed trib (23925078); No COMID;",NA,11,"Ambiguous; station is 600m away from SFLBCr on unnamed trib",18779.9999999925,10242899.9999992,10.2428999999992,6.38486436145092,0.623345376939287,3.9171131873864,1,0.0976286012750372,0,0,0,0,0,0,0,0,0.0535375323136252,0.522679439549633,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","Ca","Y"
"8",8,14,12,481,151195,"2013ORTBL1011","SHEA CREEK","OR",2013-08-06,"USFS_504","Surber net",0.74,4,"Cascades",43.5889972335,-122.851694921,"c(-2130209.19168158","2591432.58528496)","158953975",2012-02-23,2,"01149304","Shea Creek",0.206,"17090002002163",1,"yes","2013ORTBL1011",NA,47.6886053101,23760206,"On FAC",NA,12,"OK",8279.99999999255,2186099.99999905,2.18609999999905,3.27182107359376,1.49664748803585,1.90479681478409,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"NO","W","Ca","N"
"9",9,15,13,482,151199,"2013ORUTR1005","UPPER TROUT CREEK","OR",2013-08-14,"USFS_504","Surber net",0.74,9,"Eastern Cascades Slopes and Foothills",44.2602341455,-121.692758388,"c(-2020577.31229768","2638145.71892698)","56903a3c-46e7-481c-a94a-c1d082dc0e1a",2012-07-20,2,"01151442","Trout Creek",0.771,"17070301006879",1,"yes","2013ORUTR1005",NA,69.3518814679,23700771,"On FAC; name = ""Trout Creek""",NA,13,"OK",45480.0000000075,48688199.9999993,48.6881999999993,50.0840358069093,1.02866887268188,12.8338895762866,4,0.0821554298577491,0,0,0,0,0,0,0,0,0.0967078769600721,0.198626930057126,1,1,1,1,1,1,1,"Ref_GIS.candidate","E","EC","Y"
"10",10,16,14,483,151200,"2013ORUTR1003","UPPER TROUT CREEK","OR",2013-08-15,"USFS_504","Surber net",0.74,9,"Eastern Cascades Slopes and Foothills",44.2396120694,-121.700992107,"c(-2021823.05885648","2636105.79455226)","2a6bba6b-9e3b-41a7-a7b6-580333b22692",2012-02-22,2,"01151442","Trout Creek",2.04,"17070301000294",1,"yes","2013ORUTR1003",NA,90.0416280243,23700771,"On FAC",NA,14,"OK",34200.0000000112,25927199.9999994,25.9271999999994,8.57165817324638,0.330604854100967,10.1933097274907,3,0.115708599463115,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,"NO","E","EC","N"
