"","TAXON_CODE","Taxon","TAXON_CODE_Historical","Taxon_Historical","TSN","OTU_RIV05_Nov05","OTU_Stress05","OTU_BCG_WV-PL","Code_USU","OTU2N_USU","Comments","CommonName","Kingdom","Phylum","Class","SubClass","Order","SubOrder","Super Family","Family","SubFamily","Tribe","Genus","SubGenus","SpeciesGroup","SpeciesComplex","Species","SubSpecies","AKA","BBI","FFG","Voltine","SedimentTolerant","Tolerant","MTI","Cold","ORIGIN","TOL","VBI","REPRO GUILD","ADULT FW HABITAT GUILD","TEMPERATURE PREFERENCE","ADULT FRESHWATER TROPHIC GUILD","tax_uid","txrnk_name","tax_last_change_date","tax_storet_id","tax_srs_id","tax_description"
"1","MIS100","Spongillidae",NA,NA,47691,"666","666","666",1519,"Porifera",NA,NA,"Animalia","Porifera","Demospongiae",NA,"Haplosclerida","Spongillina",NA,"Spongillidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"CF","UV","U","U",666,"U",NA,NA,NA,NA,NA,NA,NA,26918,"Family",2017-04-04 09:53:55,"NULL","NULL","(Gray 1867)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=47691"
"2","MIS200","Hydridae",NA,NA,50844,"Cnidaria","666","Hydrozoa",593,"666",NA,NA,"Animalia","Cnidaria","Hydrozoa",NA,"Hydroida","Hydrida",NA,"Hydridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"PR","MV","U","T",3,"U",NA,NA,NA,NA,NA,NA,NA,24988,"Family",2016-03-24 01:12:41,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=50844"
"3","MIS210","Hydra",NA,NA,50845,"Cnidaria","666","Hydrozoa",594,"666",NA,NA,"Animalia","Cnidaria","Hydrozoa",NA,"Hydroida","Hydrida",NA,"Hydridae",NA,NA,"Hydra",NA,NA,NA,NA,NA,NA,5,"PR","MV","U","T",3,"U",NA,NA,NA,NA,NA,NA,NA,24989,"Genus",2017-04-04 09:53:01,"NULL","NULL","(Linnaeus 1758)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=50845"
"4","MIS310","Tricladida",NA,NA,54468,"Turbellaria","Turbellaria","Polycelis",1009,"Turbellaria","Updated Class 'Turbellaria' to 'Trepaxonemata' per Rhithron; 2/13/15/ mbs",NA,"Animalia","Platyhelminthes","Trepaxonemata","Archoophora","Tricladida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"CG","UN","U","U",666,"U",NA,NA,NA,NA,NA,NA,NA,26609,"Section",2019-08-01 00:40:33,"NULL","NULL","(Lang 1884)~https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=54468#null"
"5","MIS330","Polycelis",NA,NA,54510,"Turbellaria","Turbellaria","Polycelis",658,"Turbellaria","Updated Class 'Turbellaria' to 'Trepaxonemata' per Rhithron; 2/13/15/ mbs",NA,"Animalia","Platyhelminthes","Trepaxonemata","Archoophora","Tricladida",NA,NA,"Planariidae",NA,NA,"Polycelis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,26914,"Genus",2016-03-24 01:12:28,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=54510"
"6","MIS331","Polycelis coronata",NA,NA,54512,"Turbellaria","Turbellaria","Polycelis",2348,"Turbellaria","Updated Class 'Turbellaria' to 'Trepaxonemata' per Rhithron; 2/13/15/ mbs",NA,"Animalia","Platyhelminthes","Trepaxonemata","Archoophora","Tricladida",NA,NA,"Planariidae",NA,NA,"Polycelis",NA,NA,NA,"coronata",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,28020,"Species",2016-03-13 03:43:20,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=54512"
"7","MIS600","Nemertea",NA,NA,57411,"Prostoma","666","666",1919,"Nemertea",NA,NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,29885,"Phylum",2016-03-24 01:12:34,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=57411"
"8","MIS610","Prostoma",NA,NA,57577,"Prostoma","Prostoma","Prostoma",2347,"Nemertea",NA,NA,"Animalia","Nemertea","Enopla",NA,"Hoplonemertea","Monostilifera",NA,"Tetrastemmatidae",NA,NA,"Prostoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,26594,"Genus",2017-04-04 09:53:41,"NULL","NULL","(Duges 1828)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=57577"
"9","MIS500","Nematomorpha",NA,NA,64183,"Nematomorpha","666","Nematomorpha",719,"Nematomorpha",NA,NA,"Animalia","Nematomorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"PA","MV","U","U",0,"U",NA,NA,NA,NA,NA,NA,NA,29884,"Phylum",2017-04-04 09:53:23,"NULL","NULL","(Vejdovsky 1886)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=64183"
"10","POL111","Manayunkia speciosa",NA,NA,68172,"666","666","666",2107,"Polychaeta",NA,NA,"Animalia","Annelida","Polychaeta","Palpata","Canalipalpata",NA,NA,"Sabellidae",NA,NA,"Manayunkia",NA,NA,NA,"speciosa",NA,NA,NA,NA,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,27353,"Species",2017-04-04 09:53:15,"NULL","NULL","(Leidy 1859)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68172"
"11","OLI100","Lumbriculidae",NA,NA,68440,"Oligochaeta","Oligochaeta","Lumbriculidae",21,"Other_Oligochaeta",NA,NA,"Animalia","Annelida","Clitellata","Lumbriculata","Lumbriculida",NA,NA,"Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"CG","UV","T","U",1,"U",NA,NA,NA,NA,NA,NA,NA,26366,"Family",2016-03-24 01:12:38,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68440"
"12","OLI410","Haplotaxis",NA,NA,68505,"Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,"Animalia","Annelida","Clitellata","Tubificata","Tubificida",NA,NA,"Haplotaxidae",NA,NA,"Haplotaxis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25622,"Genus",2017-04-04 09:52:57,"NULL","NULL","(Hoffmeister 1843)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68505"
"13","OLI310","Mesenchytraeus",NA,NA,68544,"Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,"Animalia","Annelida","Clitellata","Tubificata","Tubificida",NA,NA,"Enchytraeidae",NA,NA,"Mesenchytraeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36720,"Genus",2017-04-04 09:53:16,"NULL","NULL","(Eisen 1878)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68544"
"14","OLI230","Spirosperma",NA,NA,68780,"Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,"Animalia","Annelida","Clitellata","Tubificata","Tubificida",NA,NA,"Naididae","Tubificinae",NA,"Spirosperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26015,"Genus",2017-04-04 09:53:55,"NULL","NULL","(Eisen 1879)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68780"
"15","OLI210","Dero",NA,NA,68898,"Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,"Animalia","Annelida","Clitellata","Tubificata","Tubificida",NA,NA,"Naididae","Naidinae",NA,"Dero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25636,"Genus",2017-04-04 09:52:41,"NULL","NULL","(Okem 1815)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68898"
"16","BRA000","Branchiobdellida",NA,NA,69168,"666","666","Branchiobdellida",5,"Branchiobdellida",NA,NA,"Animalia","Annelida","Clitellata","Tubificata","Branchiobdellida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"PA","UV","U","U",666,"U",NA,NA,NA,NA,NA,NA,NA,25616,"Order",2016-03-24 01:12:43,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69168"
"17","HIR301","Piscicola",NA,NA,69304,"Hirudinea","Hirudinea","PISCICOLA",1629,"Piscicolidae",NA,NA,"Animalia","Annelida","Clitellata","Lumbriculata","Hirudinida","Rhynchobdellida",NA,"Piscicolidae","Piscicolinae",NA,"Piscicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,26363,"Genus",2017-04-04 09:53:36,"NULL","NULL","(de Blainville 1818)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69304"
